OBJECTID,Shape,INCKEY,COLDETKEY,ADDRTYPE,COLLISIONTYPE,DIAGRAMLINK,DISTANCE,EXCEPTRSNCODE,EXCEPTRSNDESC,FATALITIES,INATTENTIONIND,INCDATE,INCDTTM,INJURIES,INTKEY,JUNCTIONTYPE,LIGHTCOND,LOCATION,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,REPORTLINK,REPORTNO,ROADCOND,SDOT_COLCODE,SDOT_COLDESC,SDOTCOLNUM,SEGKEY,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,ST_COLCODE,ST_COLDESC,STATUS,UNDERINFL,VEHCOUNT,WEATHER,WIDTH,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,SPDCASENO
21979,"""(47.59583330500004, -122.32376363099996)""",133472,133472,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\31187700.bmp,0,,,0,,07/06/2012 07:00:00 AM +0000,7/6/2012 16:19,1,30544,At Intersection (intersection related),Daylight,7TH AVE S AND S DEARBORN ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3504006.pdf,3504006,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12188022,8211,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,5835,0,N,12-215172
21992,"""(47.617504618000055, -122.32969878999995)""",133605,133605,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\22512300.bmp,0,,,0,,11/13/2012 08:00:00 AM +0000,11/13/2012 8:36,1,29174,At Intersection (intersection related),Daylight,HOWELL ST AND YALE AVE,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3581926.pdf,3581926,Wet,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,12318026,10965,1,2b,Serious Injury Collision,,45,Bicycle,Matched,N,1,Overcast,0,14397,0,N,12-389249
22023,"""(47.61409443200006, -122.31814094999999)""",134288,134288,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\00180000.bmp,0,,,0,,11/06/2012 08:00:00 AM +0000,11/6/2012 18:00,0,29747,At Intersection (intersection related),Dark - Street Lights On,11TH AVE AND E PIKE ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3476431.pdf,3476431,Wet,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12311011,1382,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Raining,0,31243,0,N,12-381402
22059,"""(47.66146692900003, -122.36861555399997)""",132928,132928,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\22188671.bmp,0, ,,0,,03/09/2012 08:00:00 AM +0000,3/9/2012 17:30,1,26710,At Intersection (intersection related),Dusk,9TH AVE NW AND NW 45TH ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3466465.pdf,3466465,Unknown,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12069013,8563,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Unknown,0,0,630875,N,2012-72786
22065,"""(47.60170997000006, -122.32635082599995)""",132647,132647,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77185500.bmp,0,,,0,,12/19/2012 08:00:00 AM +0000,12/19/2012 22:07,1,30486,At Intersection (intersection related),Dark - Street Lights On,6TH AVE AND YESLER WAY,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3503846.pdf,3503846,Wet,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12354039,7870,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining,0,37254,0,N,12-432995
22100,"""(47.54483670700006, -122.38445347199996)""",133613,133613,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77517800.bmp,0,,,0,,09/25/2012 07:00:00 AM +0000,9/25/2012 11:16,1,33748,At Intersection (intersection related),Daylight,41ST AVE SW AND SW MORGAN ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3342595.pdf,3342595,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,12269003,6469,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,1961,0,N,2012-326191
22109,"""(47.59834276200007, -122.31843780699995)""",133210,133210,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\76187700.bmp,298,,,0,,06/25/2012 07:00:00 AM +0000,6/25/2012 11:28,1,,Mid-Block (not related to intersection),Daylight,S KING ST BETWEEN 10TH AVE S AND 12TH AVE S,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3593304.pdf,3593304,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12177011,20603,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,5773,0,N,12-199728
22159,"""(47.60916022100008, -122.33264019499995)""",134291,134291,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\82184271.bmp,0, ,,0,,01/03/2012 08:00:00 AM +0000,1/3/2012 7:13,1,29914,At Intersection (intersection related),Dark - Street Lights On,6TH AVE AND UNIVERSITY ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3329885.pdf,3329885,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12003011,7880,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast,0,0,522379,N,
22162,"""(47.69024216100007, -122.36599398099997)""",134016,134016,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11511200.bmp,150,,,0,,07/05/2012 07:00:00 AM +0000,7/5/2012 14:40,1,,Mid-Block (not related to intersection),Daylight,8TH AVE NW BETWEEN NW 84TH ST AND NW 85TH ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3551406.pdf,3551406,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,12187008,8411,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,3386,0,N,12-213655
22197,"""(47.63385963400003, -122.32692389099998)""",134431,134431,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\54181100.bmp,0,,,0,,03/22/2012 07:00:00 AM +0000,3/22/2012 18:23,1,28331,At Intersection (intersection related),Dusk,FAIRVIEW AVE E AND E GARFIELD ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3373546.pdf,3373546,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12082004,10337,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,2012-87348
22212,"""(47.61879449500003, -122.30310023299995)""",133220,133220,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\22690000.bmp,193,,,0,,05/13/2012 07:00:00 AM +0000,5/13/2012 13:31,1,,Mid-Block (not related to intersection),Daylight,E MADISON ST BETWEEN 22ND AVE E AND 23RD AVE E,0,1,,1,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3552262.pdf,3552262,Dry,69,PEDALCYCLIST OVERTURNED IN ROAD,12134011,14354,0,2,Injury Collision,,45,Bicycle,Matched,N,0,Clear or Partly Cloudy,0,23101,0,N,12-147413
22228,"""(47.70141981000006, -122.34060000399995)""",133081,133081,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\32183300.bmp,0,,,0,,02/27/2012 08:00:00 AM +0000,2/27/2012 9:00,1,37299,At Intersection (intersection related),Daylight,INTERLAKE AVE N AND N 100TH ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3569039.pdf,3569039,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12058011,11022,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,2012-59355
22251,"""(47.632648234000044, -122.342281878)""",133492,133492,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\56185500.bmp,127.5,,,0,Y,07/09/2012 07:00:00 AM +0000,7/9/2012 16:38,1,,Mid-Block (but intersection related),Daylight,DEXTER AVE N BETWEEN GALER ST AND GARFIELD S ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3503859.pdf,3503859,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12191019,10084,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,12954,0,N,12-219259
22276,"""(47.60169336800004, -122.31678189299998)""",133752,133752,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\55515600.bmp,0,,,0,,09/11/2012 07:00:00 AM +0000,9/11/2012 16:38,1,30410,At Intersection (intersection related),Daylight,12TH AVE AND E YESLER WAY,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3566188.pdf,3566188,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,12255009,1523,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,10532,0,N,12 307106
22300,"""(47.66626671800003, -122.30060497999995)""",132383,132383,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\75187700.bmp,0, ,,0,,10/22/2012 07:00:00 AM +0000,10/22/2012 7:25,0,25949,At Intersection (intersection related),Daylight,25TH AVE NE AND NE BLAKELEY ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3508302.pdf,3508302,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12296006,3723,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,521604,N,2012 361723
22305,"""(47.62204123500004, -122.33845570699998)""",132526,132526,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11183571.bmp,0, ,,0,,04/24/2012 07:00:00 AM +0000,4/24/2012 13:28,0,28780,At Intersection (intersection related),Daylight,HARRISON ST AND WESTLAKE AVE N,1,0,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3503806.pdf,3503806,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12115004,10767,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,523900,N,12-125210
22422,"""(47.66398686100007, -122.31195157799999)""",133762,133762,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11231100.bmp,330,,,0,Y,04/25/2012 07:00:00 AM +0000,4/25/2012 17:27,1,,Mid-Block (not related to intersection),Daylight,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3545134.pdf,3545134,Wet,23,"MOTOR VEHICLE STRUCK PEDALCYCLIST, LEFT SIDE SIDESWIPE",12116031,2036,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining,0,21394,0,N,2012-126565
22424,"""(47.620218771000054, -122.30473948499997)""",133372,133372,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\55183300.bmp,0,,,0,,08/02/2012 07:00:00 AM +0000,8/2/2012 18:20,1,29378,At Intersection (intersection related),Daylight,21ST AVE E AND E JOHN ST,0,1,Y,3,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3332241.pdf,3332241,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12215008,3109,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,35333,0,N,12-252814
22476,"""(47.71041993400007, -122.30047246099997)""",132816,132816,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\66184671.bmp,0, ,,0,Y,11/03/2012 07:00:00 AM +0000,11/3/2012 22:47,1,36659,At Intersection (intersection related),Dark - Street Lights On,LAKE CITY WAY NE AND NE NORTHGATE WAY,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3599129.pdf,3599129,Wet,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12308002,11166,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining,0,0,524516,N,2012 378031
22493,"""(47.65050201500003, -122.33154340399994)""",133237,133237,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\00180000.bmp,0,,,0,,11/13/2012 08:00:00 AM +0000,11/13/2012 18:53,1,27273,At Intersection (intersection related),Dark - Street Lights Off,N 36TH ST AND N PACIFIC ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3613437.pdf,3613437,Wet,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12318028,9764,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining,0,0,0,N,12-389876
22513,"""(47.556318719000046, -122.27047436499998)""",133764,133764,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\88558900.bmp,283,,,0,,04/29/2012 07:00:00 AM +0000,4/29/2012 13:36,1,,Mid-Block (not related to intersection),Daylight,WILSON AVE S BETWEEN 50TH AVE S AND S FARRAR ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3608069.pdf,3608069,Dry,55,PEDALCYCLIST STRUCK MOTOR VEHICLE RIGHT SIDE SIDESWIPE,12120012,13607,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,8120,0,N,12-131127
22566,"""(47.611174927000036, -122.33602906199997)""",134180,134180,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\45184400.bmp,213.5,,,0,,12/13/2012 08:00:00 AM +0000,12/13/2012 18:28,0,,Mid-Block (not related to intersection),Dark - Street Lights On,5TH AVE BETWEEN PIKE ST AND PINE ST,0,1,,3,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3581884.pdf,3581884,Wet,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12348021,7237,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Raining,0,24883,0,N,12-425558
22638,"""(47.65422987800008, -122.38118804699997)""",132541,132541,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\66184271.bmp,0, ,,0,,07/14/2012 07:00:00 AM +0000,7/14/2012 14:24,1,26483,At Intersection (intersection related),Daylight,FISHERMAN TERM DR AND W EMERSON PL,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3546593.pdf,3546593,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12196004,23271,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,525463,N,12-226063
22668,"""(47.61849470200008, -122.32729177899995)""",133641,133641,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\78187700.bmp,139, ,,0,,01/13/2012 08:00:00 AM +0000,1/13/2012 1:42,1,,Mid-Block (not related to intersection),Dark - Street Lights On,E DENNY WAY BETWEEN MELROSE AVE AND BELLEVUE AVE,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\2618472.pdf,2618472,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12013003,13945,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,23555,0,N,12-12567
22697,"""(47.57165394200007, -122.34924289499997)""",134326,134326,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33517600.bmp,0,,,0,,02/07/2012 08:00:00 AM +0000,2/7/2012 7:01,1,32203,At Intersection (intersection related),Daylight,11TH AVE SW AND SW SPOKANE NR ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3553582.pdf,3553582,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,12038029,22833,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast,0,39178,0,N,12-37346
22753,"""(47.65499388400008, -122.30232943699997)""",132968,132968,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\66517700.bmp,1483.5, ,,0,,04/05/2012 07:00:00 AM +0000,4/5/2012,1,,Driveway Junction,Dark - Street Lights On,MONTLAKE BLVD NE BETWEEN NE PACIFIC PL AND 25TH AVE NE,0,1,,4,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3062378.pdf,3062378,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,12096038,11911,1,2b,Serious Injury Collision,,45,Bicycle,Matched,0,1,Clear or Partly Cloudy,0,0,630868,N,12-000727
22801,"""(47.61070943800007, -122.33713689299998)""",133115,133115,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\88558800.bmp,213,,,0,,03/08/2012 08:00:00 AM +0000,3/8/2012 17:12,1,,Mid-Block (not related to intersection),Daylight,4TH AVE BETWEEN PIKE ST AND PINE ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3504041.pdf,3504041,Dry,55,PEDALCYCLIST STRUCK MOTOR VEHICLE RIGHT SIDE SIDESWIPE,12068006,6131,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,12764,0,N,12-71518
22818,"""(47.54637207700006, -122.30033204199998)""",134202,134202,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11517700.bmp,0, ,,0,,12/22/2012 08:00:00 AM +0000,12/22/2012 8:51,1,167336,At Intersection (intersection related),Daylight,BEACON ER AVE S AND S GRAHAM ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3502715.pdf,3502715,Wet,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,12357007,20116,0,2,Injury Collision,,45,Bicycle,Matched,Y,1,Raining,0,0,524751,N,12-435980
22834,"""(47.65599385100006, -122.31384838599996)""",133788,133788,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33213300.bmp,142.5,,,0,,08/24/2012 07:00:00 AM +0000,8/24/2012 6:27,1,,Mid-Block (not related to intersection),Daylight,NE CAMPUS EB PY BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3597435.pdf,3597435,Wet,21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",12237013,17988,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,30475,0,N,12-282488
22847,"""(47.62703978300004, -122.29092938999997)""",134061,134061,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\21186600.bmp,0,,,0,,09/18/2012 07:00:00 AM +0000,9/18/2012 9:30,1,29434,At Intersection (intersection related),Daylight,32ND AVE E AND E MADISON ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3551799.pdf,3551799,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12262010,4940,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,34494,0,N,12 316324
22856,"""(47.627138383000045, -122.342326604)""",132424,132424,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11515300.bmp,0,,,0,,02/08/2012 08:00:00 AM +0000,2/8/2012 16:02,0,28731,At Intersection (intersection related),Daylight,ALOHA ST AND DEXTER AVE N,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3561000.pdf,3561000,Wet,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,12039002,8815,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,12729,0,N,2012-39079
22857,"""(47.672359666000034, -122.37621111899995)""",132423,132423,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\57185771.bmp,0, ,,0,,02/03/2012 08:00:00 AM +0000,2/3/2012 13:40,1,25394,At Intersection (intersection related),Daylight,15TH AVE NW AND NW 60TH ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3561936.pdf,3561936,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12034013,2107,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,524984,N,12-33313
22971,"""(47.64873286300008, -122.34404151999996)""",134072,134072,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\31187700.bmp,0,,,0,,09/07/2012 07:00:00 AM +0000,9/7/2012 8:33,1,26895,At Intersection (intersection related),Daylight,WOODLAND PARK AVE N AND N 34TH ST,0,1,Y,3,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3544953.pdf,3544953,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12251005,13647,0,2,Injury Collision,,45,Bicycle,Matched,N,2,Clear or Partly Cloudy,0,8839,0,N,12 300971
23005,"""(47.53337870200005, -122.27885219499996)""",132988,132988,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\54185500.bmp,0,,,0,Y,07/28/2012 07:00:00 AM +0000,7/28/2012 21:00,1,34489,At Intersection (intersection related),Dusk,43RD AVE S AND RENTON AVE S,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3467118.pdf,3467118,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12210035,12513,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,37354,0,N,12-246075
23032,"""(47.69783859900008, -122.35537700999998)""",132846,132846,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\17185500.bmp,0, ,,0,,02/09/2012 08:00:00 AM +0000,2/9/2012 21:38,1,37418,At Intersection (intersection related),Dark - Street Lights On,GREENWOOD AVE N AND N 95TH ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3597061.pdf,3597061,Wet,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12040020,10757,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast,0,4733,0,N,12-40520
23051,"""(47.67687652200004, -122.36602182999997)""",133673,133673,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\56185500.bmp,325.5,,,0,,04/11/2012 07:00:00 AM +0000,4/11/2012 8:35,1,,Mid-Block (not related to intersection),Daylight,8TH AVE NW BETWEEN NW 65TH ST AND NW 67TH ST,0,1,Y,3,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3504802.pdf,3504802,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12102024,8395,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast,0,2489,0,N,12 109869
23120,"""(47.613232897000046, -122.32947078999996)""",134216,134216,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\66516700.bmp,161,,,0,,06/02/2012 07:00:00 AM +0000,6/2/2012 11:29,1,,Mid-Block (not related to intersection),Daylight,PIKE ST BETWEEN TERRY AVE AND BOREN AVE,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3375500.pdf,3375500,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,12154015,12206,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,24900,0,N,12-170906
23126,"""(47.66795924400003, -122.30373895099996)""",134214,134214,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\78186871.bmp,0, ,,0,,09/30/2012 07:00:00 AM +0000,9/30/2012 17:25,1,26085,At Intersection (intersection related),Daylight,22ND AVE NE AND NE 54TH ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3507778.pdf,3507778,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",12274022,12453,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,630865,N,12-333896
